id,data_type,loan_type,purchased_bal_gp,district,payer_3yr,balance_proxy,raw_repay_prob,calibrated_repay_prob,predicted_payer_flag,expected_value_proxy,gross_high_priority_agent_call,net_high_priority_agent_call,gross_medium_priority_auto_dialer,net_medium_priority_auto_dialer,gross_low_priority_sms_email,net_low_priority_sms_email,recommended_action,expected_gross_recovery,expected_net_recovery,recommended_contact_cost,policy_rank
6077,M,Credit Card,02. <=10k,LAM TIN,N,7500,0.103682876,0.024758247566735583,N,185.68685675051688,64.9903998626809,-20.009600137319097,46.79308790113025,34.79308790113025,22.746639951938313,21.246639951938313,Write-off / Ignore,0.0,0.0,0.0,0
546,M,Credit Card,03. <=25k,TAI WAI,N,17500,0.10359902,0.02474087835489739,N,432.96537121070435,151.53787992374652,66.53787992374652,109.10727354509748,97.10727354509748,53.038257973311275,51.538257973311275,Write-off / Ignore,0.0,0.0,0.0,0
2020,T,Credit Card,03. <=25k,SHAM SHUI PO,N,17500,0.10348412,0.02471707755218785,N,432.5488571632874,151.39210000715056,66.39210000715056,109.0023120051484,97.0023120051484,52.98723500250269,51.48723500250269,Write-off / Ignore,0.0,0.0,0.0,0
3160,T,Overdraft,03. <=25k,WAH FU,N,17500,0.103214,0.02466112258120994,N,431.56964517117393,151.04937580991086,66.04937580991086,108.75555058313581,96.75555058313581,52.8672815334688,51.3672815334688,Write-off / Ignore,0.0,0.0,0.0,0
3494,M,Credit Card,03. <=25k,KWAI CHUNG,N,17500,0.10281676,0.024578821708266523,N,430.12937989466417,150.54528296313245,65.54528296313245,108.39260373345536,96.39260373345536,52.690849037096356,51.190849037096356,Write-off / Ignore,0.0,0.0,0.0,0
2587,M,Credit Card,03. <=25k,WAH FU,N,17500,0.1024887,0.024510843592464217,N,428.9397628681238,150.12891700384333,65.12891700384333,108.09282024276719,96.09282024276719,52.54512095134516,51.04512095134516,Write-off / Ignore,0.0,0.0,0.0,0
1339,M,Credit Card,03. <=25k,TIN SHUI WAI,N,17500,0.10208845,0.024427896680148182,N,427.4881919025932,149.6208671659076,64.62086716590761,107.72702435945348,95.72702435945348,52.367303508067664,50.867303508067664,Write-off / Ignore,0.0,0.0,0.0,0
7670,M,Overdraft,03. <=25k,MA ON SHAN,N,17500,0.10190429,0.024389726048599215,N,426.8202058504863,149.3870720476702,64.38707204767019,107.55869187432253,95.55869187432253,52.28547521668456,50.78547521668456,Write-off / Ignore,0.0,0.0,0.0,0
13584,T,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.1018478,0.024378017006415023,N,426.6152976122629,149.31535416429202,64.31535416429202,107.50705499829024,95.50705499829024,52.2603739575022,50.7603739575022,Write-off / Ignore,0.0,0.0,0.0,0
11812,T,Personal Loan,02. <=10k,JORDAN,N,7500,0.10174612,0.024356940964847834,N,182.67705723635876,63.93697003272556,-21.06302996727444,46.0346184235624,34.0346184235624,22.377939511453945,20.877939511453945,Write-off / Ignore,0.0,0.0,0.0,0
1297,M,Credit Card,02. <=10k,WAH FU,N,7500,0.10168955,0.024345214163175383,N,182.58910622381538,63.90618717833538,-21.09381282166462,46.01245476840147,34.01245476840147,22.367165512417383,20.867165512417383,Write-off / Ignore,0.0,0.0,0.0,0
6678,M,Personal Loan,03. <=25k,LAM TIN,N,17500,0.10152484,0.024311070026468325,N,425.4437254631957,148.90530391211848,63.905303912118484,107.2118188167253,95.2118188167253,52.11685636924147,50.61685636924147,Write-off / Ignore,0.0,0.0,0.0,0
3112,T,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.101460084,0.024297646177133474,N,425.2088080998358,148.8230828349425,63.82308283494251,107.15261964115861,95.15261964115861,52.088078992229875,50.588078992229875,Write-off / Ignore,0.0,0.0,0.0,0
13959,M,Credit Card,01. <=5k,SHEUNG WAN,N,2500,0.10126974,0.024258183391631563,N,60.64545847907891,21.22591046767762,-63.77408953232238,15.282655536727885,3.2826555367278853,7.429068663687166,5.929068663687166,Write-off / Ignore,0.0,0.0,0.0,0
7081,M,Personal Loan,02. <=10k,MA ON SHAN,N,7500,0.101191774,0.024242019220842927,N,181.81514415632196,63.635300454712684,-21.364699545287316,45.81741632739313,33.81741632739313,22.272355159149438,20.772355159149438,Write-off / Ignore,0.0,0.0,0.0,0
